,Wavelength (nm),GE 200 W Clear,GE Wattmiser 52 W frosted,Spot 60 W,GE Reveal 3 Way
113,462,0.0543978,0.00466572,0.00483616,0.00845238
114,463,0.0552092,0.00472928,0.00491667,0.00857469
115,464,0.0559866,0.00480616,0.00498293,0.00869294
116,465,0.0567755,0.0048882,0.00504662,0.00881036
117,466,0.0576048,0.00496589,0.00511944,0.00892807
118,467,0.0583948,0.00504995,0.00519754,0.00903737
119,468,0.0591855,0.00513396,0.0052695,0.00913361
120,469,0.0600024,0.00521344,0.00533877,0.00922092
121,470,0.0608616,0.00528571,0.00542977,0.00931567
122,471,0.0617089,0.0053713,0.00550608,0.00940902
123,472,0.0625576,0.00546538,0.00557287,0.00950566
124,473,0.063432,0.00555368,0.0056515,0.00961475
125,474,0.064244,0.00562803,0.0057314,0.00972998
126,475,0.0650475,0.00570766,0.0058114,0.00986159
127,476,0.0658885,0.00580115,0.00589086,0.0100172
128,477,0.0667749,0.00588494,0.00596843,0.010191
129,478,0.0676595,0.00596953,0.00604373,0.0103755
130,479,0.068516,0.00605666,0.00612002,0.0105697
131,480,0.0693337,0.0061415,0.00620708,0.0107827
132,481,0.070186,0.00622863,0.00629436,0.0110027
133,482,0.0710605,0.00631495,0.00637992,0.0112274
134,483,0.0719267,0.00639675,0.00646594,0.0114587
135,484,0.0728194,0.00647968,0.00655744,0.0116824
136,485,0.0737017,0.00656847,0.00664445,0.011899
137,486,0.0745668,0.00666355,0.00672116,0.0121122
138,487,0.0754718,0.00675598,0.00681204,0.0123195
139,488,0.0763668,0.00684861,0.00690113,0.0125193
140,489,0.0772558,0.00694155,0.00698296,0.0127081
141,490,0.0781703,0.00703297,0.00707387,0.0128755
142,491,0.0790956,0.00712488,0.00715914,0.0130286
143,492,0.0800154,0.00721611,0.00723913,0.0131726
144,493,0.0809191,0.00730705,0.007323,0.0133114
145,494,0.0818507,0.00741329,0.00741144,0.0134389
146,495,0.0827676,0.00751468,0.00750172,0.0135565
147,496,0.0836533,0.00760288,0.00758982,0.0136656
148,497,0.0845487,0.00769554,0.00767224,0.0137581
149,498,0.0854637,0.00779143,0.00775539,0.0138408
150,499,0.0864105,0.00788892,0.00784274,0.0139187
151,500,0.087394,0.00798469,0.00792724,0.013988
152,501,0.0883721,0.00808532,0.00801418,0.0140541
153,502,0.0893309,0.0081877,0.00810469,0.0141155
154,503,0.0902744,0.00828745,0.00819684,0.0141656
155,504,0.0912233,0.00838375,0.00829269,0.0142065
156,505,0.092196,0.00848458,0.00838849,0.0142309
157,506,0.0931868,0.00859149,0.0084795,0.0142279
158,507,0.0941381,0.00869148,0.00857259,0.0141874
